POST-OFFICE-NAME	PIN-CODE	DISTRICT	STATE
CHAK 69/4-R	62080	Bahawal Nagar 	Punjab
CHAK 85/6 R (KOT KHADIM ALI SHAH)	57070	Sahiwal 	Punjab
CHAK 86 S.B.	40300	Sargodha 	Punjab
CHAK 88 S.B.	40270	Sargodha 	Punjab
CHAK 90/9-L	57030	Sahiwal 	Punjab
CHAK 90/ML	31000	Layyah 	Punjab
CHAK 91/6-R	57100	Sahiwal 	Punjab
CHAK 98/GB	37290	Faisalabad 	Punjab
CHAK AKKA	49460	Jhelum 	Punjab
CHAK BAQAR SHAH	48860	Chakwal 	Punjab
CHAK BEDI	57440	Sahiwal 	Punjab
CHAK BELI KHAN	47600	Rawalpindi 	Punjab
CHAK BHAUN	48694	Chakwal 	Punjab
CHAK DADAN	28490	Bannu 	NWFP
CHAK DAULAT	49520	Jhelum 	Punjab
CHAK DHAMNI	12380	Rawalakot 	Azad Kashmir
CHAK JANI	49102	Jhelum 	Punjab
CHAK JANO KHURD	50310	Mandi Bahauddin 	Punjab
CHAK JHUMRA	37700	Faisalabad 	Punjab
CHAK KAMALA	50840	Gujrat 	Punjab
CHAK MALOOK	48770	Chakwal 	Punjab
CHAK MUHAMMAD	50120	Gujrat 	Punjab
CHAK NO. 1	50350	Mandi Bahauddin 	Punjab
CHAK NO.270 TDA	31250	Layyah 	Punjab
CHAK NO.279 TDA	31400	Layyah 	Punjab
CHAK NO.73/5-L (MOGHAL)	57430	Sahiwal 	Punjab
CHAK RAM DAS	40520	Sargodha 	Punjab
CHAK SAWARI	10500	Mirpur 	Azad Kashmir
CHAK SHAFI	57150	Sahiwal 	Punjab
CHAK YANI	77320	Larkana 	Sindh
CHAK-186	30004	Bhakkar 	Punjab
CHAK-379/WB	60030	Multan 	Punjab
CHAK-5/11L	57174	Sahiwal 	Punjab
CHAKDARA	18800	Batkhela HPO	NWFP
CHAKIA	21270	Mansehra 	NWFP
CHAKISAR	19090	Saidu Sharif 	NWFP
CHAKLALA AIR FIELD RAWALPINDI	46210	Rawalpindi 	Punjab
CHAKORA	48930	Chakwal 	Punjab
CHAKOTHI	13240	Muzaffarabad 	Azad Kashmir
CHAKRAL	48840	Chakwal 	Punjab
CHAKRALA	42230	Mianwali 	Punjab
CHAKRALI BUDHAL	47476	Rawalpindi 	Punjab
CHAKRI	49730	Jhelum 	Punjab
CHAKRI	47300	Rawalpindi 	Punjab
CHAKWAL G.P.O	48800	Chakwal 	Punjab
CHAL NO.127/EB	57490	Sahiwal 	Punjab
CHALT	15500	Gilgit 	Northern Area
CHAMAN	86000	Quetta 	Balochistan
CHAMANKOT	12630	Bagh 	Azad Kashmir
CHAMATTI	22130	Abbottabad 	NWFP
CHAMBER	70080	Hyderabad 	Sindh
CHAMKANI	24350	Peshawar 	NWFP
CHAMYALI	22160	Abbottabad 	NWFP
CHANDKA MEDICAL COLLEGE LARKANA 	77170	Larkana 	Sindh
CHANDO MAIRA	22540	Abbottabad 	NWFP
CHANG	66300	Khairpur  	Sindh
CHANGA	48240	Talagang 	Punjab
CHANGA BANGIAL	49764	Gujar Khan 	Punjab
CHANGLA GALI 	22320	Abbottabad 	NWFP
CHANI GOTH	63450	Bahawalpur 	Punjab
CHAPRAR	51270	Sialkot 	Punjab
CHAPRI	42110	Mianwali 	Punjab
CHARBAGH	19120	Saidu Sharif 	NWFP
CHARHOI	11250	Kotli 	Azad Kashmir
CHARSADDA GPO	24420	Charsadda 	NWFP
CHASHMA BARRAGE COLONY MIANWALI	42030	Mianwali 	Punjab
CHATAR PLAIN	21070	Mansehra 	NWFP
CHATORE KHAND 	15200	Gilgit 	Northern Area
CHATTAR	80800	Sibi 	Balochistan
CHAUNTRA	47590	Rawalpindi 	Punjab
CHAWINDA	51420	Sialkot 	Punjab
CHAWK AZAM	31450	Layyah 	Punjab
CHECHIAN 	10350	Mirpur 	Azad Kashmir
CHELLIAN WALA	50360	Mandi Bahauddin 	Punjab
CHENAB NAGAR	35460	Jhang 	Punjab
CHENARI	13190	Muzaffarabad 	Azad Kashmir
CHERAT	24280	Nowshera 	NWFP
CHHAB	43270	Attock 	Punjab
CHHANGA MANGA	55200	Kasur 	Punjab
CHHANI REKI	10404	Mirpur 	Azad Kashmir
CHHATTROH	10320	Mirpur 	Azad Kashmir
CHHIDROO	42260	Mianwali 	Punjab
CHHONAWALA	63020	Bahawalpur 	Punjab
CHHOR	69090	Mirpur Khas 	Sindh
CHICHAWATNI	57200	Sahiwal 	Punjab
CHIK BUDHAL	47882	Gujar Khan 	Punjab
CHIKAR	13170	Muzaffarabad 	Azad Kashmir
CHILAM 	14400	Gilgit 	Northern Area
CHILAS (LSG)	14100	Gilgit 	Northern Area
CHINIOT	35400	Jhang 	Punjab
CHINJI	48280	Talagang 	Punjab
CHIRAH	45680	Islamabad 	Federal Capital
CHIRALA	12620	Bagh 	Azad Kashmir
CHISHMA RIGHT BANK CANAL D.I KHAN	29190	Dera Ismail Khan 	NWFP
